Threshold;Time
T04;517.714286
T04;279.571429
T04;226
T04;250.857143
T04;190.714286
T04;186.142857
T04;154.142857
T04;173
T04;181.571429
T04;201.857143
T04;188.857143
T04;166.857143
T04;191.571429
T04;184.428571
T04;172.857143
T04;137.142857
T04;168.714286
T04;141.428571
T04;157
T04;138.571429
T04;122.428571
T04;175.285714
T04;123.428571
T04;130.571429
T04;136
T04;117.285714
T04;111.714286
T04;136
T04;162.285714
T04;122.571429
T04;123.285714
T04;114.428571
T04;106.142857
T04;98.285714
T04;112.857143
T04;109
T04;120.571429
T04;127.285714
T04;129.571429
T04;151.714286
T04;123.857143
T04;122.571429
T04;113.714286
T04;104
T04;106.857143
T04;107.142857
T04;138.428571
T04;141
T04;127.285714
T04;127.571429
T04;130.857143
T04;116.285714
T04;99.428571
T04;176.857143
T04;145.714286
T04;188.714286
T04;141.428571
T04;169.142857
T04;171.571429
T04;190
T04;151
T04;137.714286
T04;158.571429
T04;152.571429
T04;149
T04;119.285714
T04;145.857143
T04;122.285714
T04;111.142857
T04;103.285714
T04;124.142857
T04;110.714286
T04;100
T04;128.857143
T04;96.285714
T04;103.857143
T04;148.571429
T04;131.285714
T04;116.285714
T04;150
T04;106
T04;145.857143
T04;124.285714
T04;127.285714
T04;146.285714
T04;116.857143
T04;109.857143
T04;102.571429
T04;100
T04;132
T04;152.857143
T04;121.142857
T04;129.714286
T04;138.714286
T04;206
T04;130
T04;127.714286
T04;98.714286
T04;118.857143
T04;196
T06;514.142857
T06;259.571429
T06;187.142857
T06;266.142857
T06;169.285714
T06;153.285714
T06;199.857143
T06;188.142857
T06;170.428571
T06;179.857143
T06;199.571429
T06;160
T06;179.714286
T06;194.142857
T06;150.142857
T06;134.857143
T06;160.285714
T06;204.142857
T06;137.428571
T06;177.857143
T06;152.714286
T06;164.714286
T06;111.142857
T06;128.571429
T06;119.714286
T06;117.857143
T06;134.714286
T06;163
T06;173.571429
T06;142
T06;128.428571
T06;120.857143
T06;101.571429
T06;173.428571
T06;125.285714
T06;118.428571
T06;127.857143
T06;143.428571
T06;131.428571
T06;119.714286
T06;119.857143
T06;133.714286
T06;123.142857
T06;108
T06;118.714286
T06;120.142857
T06;133
T06;151.571429
T06;130
T06;125.285714
T06;124.571429
T06;124.285714
T06;99
T06;203.142857
T06;176.428571
T06;172.428571
T06;167.571429
T06;140.285714
T06;165.142857
T06;177.285714
T06;157.857143
T06;169
T06;120.428571
T06;150
T06;120.142857
T06;124.714286
T06;177
T06;143.285714
T06;162.714286
T06;104.428571
T06;115.571429
T06;109.285714
T06;118.285714
T06;136.428571
T06;109.142857
T06;121.857143
T06;130.857143
T06;116.857143
T06;94.142857
T06;172.714286
T06;110.714286
T06;129.428571
T06;117.142857
T06;148.142857
T06;132.714286
T06;129
T06;112.714286
T06;132.714286
T06;112.142857
T06;142
T06;134.857143
T06;111.428571
T06;166.142857
T06;110.857143
T06;192.571429
T06;126
T06;109.857143
T06;143.714286
T06;202.428571
T06;204.285714
T08;531.428571
T08;264.571429
T08;205.714286
T08;222.142857
T08;182.285714
T08;181.857143
T08;140.142857
T08;180.428571
T08;141.142857
T08;183
T08;178.857143
T08;193.428571
T08;171.142857
T08;176.142857
T08;176.428571
T08;134.142857
T08;151.428571
T08;120
T08;135.285714
T08;184.428571
T08;164.857143
T08;153.857143
T08;201.428571
T08;143.428571
T08;153.428571
T08;127.714286
T08;151.571429
T08;154.142857
T08;190.571429
T08;162.285714
T08;161.285714
T08;141.857143
T08;96.714286
T08;109.571429
T08;130.857143
T08;107
T08;118.285714
T08;132.857143
T08;142.285714
T08;137.285714
T08;127.714286
T08;124.857143
T08;122.857143
T08;114.714286
T08;132.571429
T08;118.285714
T08;147.571429
T08;174.571429
T08;126.142857
T08;133.285714
T08;148.571429
T08;123.285714
T08;127.857143
T08;185
T08;178.428571
T08;196
T08;152.714286
T08;177.571429
T08;179.714286
T08;186.571429
T08;173.428571
T08;164.285714
T08;181.285714
T08;169.714286
T08;184.428571
T08;131.428571
T08;178.428571
T08;117.428571
T08;108.571429
T08;114.142857
T08;131.714286
T08;114
T08;102.142857
T08;126
T08;116.428571
T08;104.714286
T08;115.714286
T08;129
T08;122.571429
T08;150.714286
T08;113.714286
T08;125.285714
T08;125.142857
T08;135.714286
T08;151.428571
T08;118.142857
T08;109.857143
T08;110.428571
T08;110.714286
T08;132.285714
T08;121.571429
T08;114.428571
T08;123.285714
T08;117.285714
T08;219.142857
T08;116.714286
T08;110.142857
T08;96
T08;107.714286
T08;174.571429
