REP1;REP2;REP3;REP4;REP5;REP6;REP7
6;7;7;6;6;6;7
1;2;1;1;1;0;0
1;1;1;1;1;1;2
0;1;0;1;1;2;1
1;0;2;1;0;0;0
3;1;0;1;1;1;1
1;3;2;2;2;0;1
0;0;0;0;1;2;2
1;1;2;1;0;1;0
0;0;1;2;2;0;4
0;2;2;1;1;7;1
3;3;1;1;0;0;1
7;0;1;1;0;2;2
1;3;0;2;2;0;0
0;0;1;2;1;0;2
1;0;2;0;1;2;1
8;1;0;0;0;0;1
2;1;1;1;1;1;1
0;2;2;0;3;0;1
2;0;0;0;2;0;0
1;3;1;1;0;1;2
1;0;1;1;0;0;1
3;1;0;0;2;2;2
1;3;2;0;0;2;1
1;2;2;1;1;1;0
1;1;2;2;0;1;1
0;1;1;2;1;0;2
1;0;3;1;1;1;3
0;0;0;1;2;0;0
1;1;0;1;1;0;0
0;2;0;0;2;1;2
1;3;3;1;2;0;2
1;0;1;0;0;2;1
2;2;1;2;0;1;0
3;0;1;0;2;0;2
0;1;0;0;0;1;1
0;0;2;0;0;0;0
1;0;0;1;1;0;0
1;1;2;1;1;1;1
1;2;1;1;1;1;0
0;0;0;0;0;0;0
2;1;2;0;0;1;2
0;1;1;0;1;2;1
2;1;1;1;0;1;2
0;3;2;0;1;1;0
1;0;0;2;0;2;2
0;2;2;0;1;2;1
2;2;1;1;1;0;3
0;2;0;1;1;0;0
0;1;1;1;1;0;1
1;1;0;0;1;1;2
1;2;1;0;1;0;0
1;0;3;1;1;1;2
0;2;0;1;0;1;1
0;1;2;0;2;2;0
3;0;1;0;1;2;2
2;1;0;0;0;1;2
2;0;2;0;2;1;0
0;1;2;0;1;1;0
1;0;1;3;1;1;2
0;1;1;1;0;0;1
1;0;1;8;1;1;0
1;2;2;1;0;1;0
2;0;0;0;1;1;1
1;1;3;1;2;1;1
0;0;2;1;0;0;1
0;1;1;1;2;1;0
2;1;0;0;2;1;2
0;0;0;1;0;0;0
0;0;2;1;1;0;1
1;1;2;0;1;1;0
1;0;0;0;0;0;3
1;2;0;0;2;1;0
0;0;2;1;0;0;3
2;1;0;0;1;1;2
0;1;2;0;1;0;2
0;3;1;1;1;1;1
1;0;3;0;0;0;2
0;1;0;0;1;1;0
2;0;8;0;0;1;1
0;3;0;1;0;1;0
0;1;1;0;1;1;2
1;2;1;1;1;0;2
2;0;0;0;2;2;1
1;1;1;1;4;1;0
0;0;1;0;2;1;1
1;2;2;0;0;2;1
0;0;0;1;2;0;0
0;2;2;1;1;2;3
1;1;0;1;0;0;0
0;0;0;0;1;2;1
1;2;2;0;2;0;1
1;1;1;1;0;1;1
0;0;1;1;2;0;2
1;2;4;1;2;1;0
1;1;1;1;2;2;1
3;1;2;1;0;1;2
0;0;1;1;1;2;0
1;1;0;1;1;0;2
1;1;1;0;1;1;1
