Time [ms];CPU usage [%];GC activity [%];Heap Size;Used heap;Used heap
0;39;0;489.160704;174.16796;174.16796
0.5;37.6;0;489.160704;201.591464;201.591464
1;25.4;0;489.160704;234.623592;234.623592
1.5;20.9;0;489.160704;275.128856;275.128856
2;15.7;0;483.393536;154.567736;154.567736
2.5;24.3;0;483.393536;201.991192;201.991192
3;21.4;1.3;483.393536;245.253536;245.253536
3.5;20.9;0;483.393536;303.402504;303.402504
4;18.5;0.1;483.393536;159.764832;159.764832
4.5;19.9;0;483.393536;192.362544;192.362544
5;18.4;0.2;483.393536;226.593256;226.593256
5.5;24.4;0;483.393536;268.69828;268.69828
6;21.8;0;483.393536;295.84968;295.84968
6.5;23.2;0.1;495.976448;155.119904;155.119904
7;21.2;0;495.976448;179.623352;179.623352
7.5;21.4;0;495.976448;217.891776;217.891776
8;18.4;0;495.976448;272.274744;272.274744
8.5;12.3;0;495.976448;307.72344;307.72344
9;14.8;0.1;506.986496;134.62708;134.62708
9.5;15.4;0;506.986496;174.71324;174.71324
10;38.4;0;506.986496;215.972152;215.972152
10.5;17.5;0.1;506.986496;254.79364;254.79364
11;10.8;0;506.986496;283.286576;283.286576
11.5;12.8;0.1;506.986496;307.658856;307.658856
12;19.6;0;501.219328;142.309648;142.309648
12.5;25.8;0;501.219328;171.17884;171.17884
13;12.4;0.1;501.219328;227.24676;227.24676
13.5;10;0;501.219328;260.395032;260.395032
14;17.8;0.1;501.219328;303.772232;303.772232
14.5;19;0;504.889344;131.925216;131.925216
15;24.2;0;504.889344;156.318888;156.318888
15.5;28.9;0.1;504.889344;191.93084;191.93084
16;13.1;0;504.889344;220.845152;220.845152
16.5;18.7;0.2;504.889344;274.679592;274.679592
17;29.2;0;504.889344;326.388536;326.388536
17.5;10.3;0;498.597888;158.143944;158.143944
18;20.5;0.1;498.597888;199.214456;199.214456
18.5;14;0;498.597888;258.40756;258.40756
19;15.4;0.1;498.597888;301.597984;301.597984
