RequisitionNumber;ElapsedTime;Precision;Recall;FMeasure
1;427;0.615384615;0.888888889;0.727272727
2;231;0.470588235;0.888888889;0.615384615
3;216;0.5;0.888888889;0.64
4;237;0.5;0.888888889;0.64
5;167;0.533333333;0.888888889;0.666666667
6;306;0.5;0.888888889;0.64
7;124;0.5;0.888888889;0.64
8;140;0.533333333;0.888888889;0.666666667
9;152;0.5;0.888888889;0.64
10;174;0.5;0.888888889;0.64
11;208;0.5;0.888888889;0.64
12;152;0.5;0.888888889;0.64
13;312;0.416666667;1;0.588235294
14;247;0.416666667;1;0.588235294
15;176;0.416666667;1;0.588235294
16;125;0.416666667;1;0.588235294
17;255;0.416666667;1;0.588235294
18;155;0.416666667;1;0.588235294
19;157;0.416666667;1;0.588235294
20;112;0.416666667;1;0.588235294
21;147;0.416666667;1;0.588235294
22;215;0.416666667;1;0.588235294
23;121;0.416666667;1;0.588235294
24;148;0.416666667;1;0.588235294
25;120;0.416666667;1;0.588235294
26;167;0.416666667;1;0.588235294
27;108;0.416666667;1;0.588235294
28;133;0.416666667;1;0.588235294
29;224;0.416666667;1;0.588235294
30;139;0.416666667;1;0.588235294
31;134;0.416666667;1;0.588235294
32;142;0.416666667;1;0.588235294
33;140;0.416666667;1;0.588235294
34;113;0.416666667;1;0.588235294
35;121;0.4;1;0.571428571
36;106;0.4;1;0.571428571
37;119;0.4;1;0.571428571
38;137;0.4;1;0.571428571
39;151;0.416666667;1;0.588235294
40;240;0.416666667;1;0.588235294
41;121;0.416666667;1;0.588235294
42;131;0.416666667;1;0.588235294
43;128;0.416666667;1;0.588235294
44;115;0.416666667;1;0.588235294
45;99;0.416666667;1;0.588235294
46;110;0.4;1;0.571428571
47;133;0.4;1;0.571428571
48;146;0.4;1;0.571428571
49;109;0.4;1;0.571428571
50;219;0.4;1;0.571428571
51;119;0.4;1;0.571428571
52;126;0.4;1;0.571428571
53;110;0.4;1;0.571428571
54;242;0.4;1;0.571428571
55;184;0.4;1;0.571428571
56;127;0.4;1;0.571428571
57;115;0.4;1;0.571428571
58;209;0.4;1;0.571428571
59;195;0.4;1;0.571428571
60;272;0.4;1;0.571428571
61;165;0.4;1;0.571428571
62;147;0.4;1;0.571428571
63;246;0.4;1;0.571428571
64;109;0.4;1;0.571428571
65;134;0.4;1;0.571428571
66;125;0.4;1;0.571428571
67;132;0.4;1;0.571428571
68;136;0.4;1;0.571428571
69;82;0.4;1;0.571428571
70;97;0.4;1;0.571428571
71;105;0.4;1;0.571428571
72;123;0.4;1;0.571428571
73;92;0.4;1;0.571428571
74;102;0.4;1;0.571428571
75;116;0.4;1;0.571428571
76;96;0.4;1;0.571428571
77;143;0.4;1;0.571428571
78;144;0.4;1;0.571428571
79;175;0.4;1;0.571428571
80;106;0.4;1;0.571428571
81;97;0.4;1;0.571428571
82;124;0.4;1;0.571428571
83;82;0.4;1;0.571428571
84;127;0.4;1;0.571428571
85;109;0.4;1;0.571428571
86;129;0.4;1;0.571428571
87;92;0.4;1;0.571428571
88;103;0.4;1;0.571428571
89;104;0.4;1;0.571428571
90;142;0.357142857;1;0.526315789
91;165;0.357142857;1;0.526315789
92;130;0.357142857;1;0.526315789
93;156;0.357142857;1;0.526315789
94;181;0.357142857;1;0.526315789
95;197;0.357142857;1;0.526315789
96;178;0.357142857;1;0.526315789
97;118;0.357142857;1;0.526315789
98;93;0.357142857;1;0.526315789
99;143;0.357142857;1;0.526315789
100;197;0.357142857;1;0.526315789
