RequisitionNumber; ElapsedTime; Precision; Recall; FMeasure
1;576;0.421053;0.888889;0.571429
2;303;0.470588;0.888889;0.615385
3;170;0.400000;0.888889;0.551724
4;248;0.470588;0.888889;0.615385
5;189;0.470588;0.888889;0.615385
6;136;0.470588;0.888889;0.615385
7;166;0.384615;1.000000;0.555556
8;226;0.384615;1.000000;0.555556
9;178;0.370370;1.000000;0.540541
10;198;0.384615;1.000000;0.555556
11;153;0.384615;1.000000;0.555556
12;166;0.384615;1.000000;0.555556
13;209;0.384615;1.000000;0.555556
14;211;0.400000;1.000000;0.571429
15;184;0.400000;1.000000;0.571429
16;155;0.400000;1.000000;0.571429
17;218;0.400000;1.000000;0.571429
18;147;0.400000;1.000000;0.571429
19;116;0.400000;1.000000;0.571429
20;140;0.400000;1.000000;0.571429
21;145;0.384615;1.000000;0.555556
22;153;0.384615;1.000000;0.555556
23;117;0.384615;1.000000;0.555556
24;94;0.384615;1.000000;0.555556
25;147;0.384615;1.000000;0.555556
26;117;0.384615;1.000000;0.555556
27;187;0.384615;1.000000;0.555556
28;163;0.384615;1.000000;0.555556
29;162;0.384615;1.000000;0.555556
30;153;0.384615;1.000000;0.555556
31;129;0.384615;1.000000;0.555556
32;145;0.384615;1.000000;0.555556
33;92;0.384615;1.000000;0.555556
34;104;0.384615;1.000000;0.555556
35;125;0.384615;1.000000;0.555556
36;101;0.400000;1.000000;0.571429
37;116;0.400000;1.000000;0.571429
38;134;0.400000;1.000000;0.571429
39;103;0.384615;1.000000;0.555556
40;166;0.400000;1.000000;0.571429
41;130;0.400000;1.000000;0.571429
42;144;0.400000;1.000000;0.571429
43;125;0.400000;1.000000;0.571429
44;88;0.400000;1.000000;0.571429
45;122;0.400000;1.000000;0.571429
46;94;0.400000;1.000000;0.571429
47;160;0.400000;1.000000;0.571429
48;181;0.384615;1.000000;0.555556
49;106;0.384615;1.000000;0.555556
50;124;0.384615;1.000000;0.555556
51;114;0.384615;1.000000;0.555556
52;112;0.400000;1.000000;0.571429
53;104;0.400000;1.000000;0.571429
54;292;0.400000;1.000000;0.571429
55;175;0.400000;1.000000;0.571429
56;152;0.400000;1.000000;0.571429
57;204;0.400000;1.000000;0.571429
58;141;0.400000;1.000000;0.571429
59;167;0.400000;1.000000;0.571429
60;275;0.400000;1.000000;0.571429
61;187;0.400000;1.000000;0.571429
62;184;0.400000;1.000000;0.571429
63;135;0.400000;1.000000;0.571429
64;160;0.400000;1.000000;0.571429
65;118;0.400000;1.000000;0.571429
66;97;0.400000;1.000000;0.571429
67;103;0.400000;1.000000;0.571429
68;152;0.400000;1.000000;0.571429
69;116;0.400000;1.000000;0.571429
70;108;0.400000;1.000000;0.571429
71;120;0.416667;1.000000;0.588235
72;129;0.416667;1.000000;0.588235
73;101;0.416667;1.000000;0.588235
74;136;0.416667;1.000000;0.588235
75;97;0.416667;1.000000;0.588235
76;103;0.416667;1.000000;0.588235
77;152;0.416667;1.000000;0.588235
78;89;0.416667;1.000000;0.588235
79;113;0.416667;1.000000;0.588235
80;154;0.416667;1.000000;0.588235
81;124;0.416667;1.000000;0.588235
82;142;0.416667;1.000000;0.588235
83;105;0.416667;1.000000;0.588235
84;114;0.416667;1.000000;0.588235
85;158;0.416667;1.000000;0.588235
86;130;0.416667;1.000000;0.588235
87;128;0.416667;1.000000;0.588235
88;242;0.416667;1.000000;0.588235
89;132;0.416667;1.000000;0.588235
90;187;0.416667;1.000000;0.588235
91;152;0.416667;1.000000;0.588235
92;187;0.416667;1.000000;0.588235
93;122;0.454545;1.000000;0.625000
94;107;0.454545;1.000000;0.625000
95;212;0.454545;1.000000;0.625000
96;178;0.454545;1.000000;0.625000
97;146;0.454545;1.000000;0.625000
98;108;0.454545;1.000000;0.625000
99;102;0.454545;1.000000;0.625000
100;331;0.454545;1.000000;0.625000
